"","slide_id","Total_cell","Opal 480 Positive Cells (CD19)","Opal 520 Positive Cells (CD4)","Opal 620 Positive Cells (CD8)","Total_area","Opal 570 Area (μm²) Myeloperoxidase","Opal 690 Area (μm²) CD68"
"77","11-80",389092,0.00429204404099802,0.0435886628355248,0.0437788492181798,263916128,0.0116574885866771,0.0359545249163401
"78","16-45",179668,0.00414097112451856,0.0912182469888906,0.0839715475209832,139072064,0.0111792041858241,0.0426302222709516
"79","07-69",547117,0.000138909958930174,0.0299241295737475,0.00548146008988937,212730128,0.00751818284996284,0.110722069419335
"80","11-92",419470,0.00269864352635469,0.0368393448875962,0.0237561684983431,230748752,0.00586055444841582,0.0926393396051823
"81","19-41",304336,0.00132090846958625,0.0501978076862415,0.0343534777351348,177170032,0.00796714663911107,0.0655308285997262
"82","12-01",149470,0.0131464507928012,0.0999665484712651,0.0244129256707032,61175860,0.0119150695225208,0.0784739356340883
"83","13-73",259840,0.00163562192118227,0.0570004618226601,0.0821313115763547,194405280,0.00488663682385581,0.0233329516564571
"84","17-36",381993,0.0189846410798104,0.037914307330239,0.0556345273342705,159432160,0.000866630554650956,0.0480656349383964
"85","11-27",284754,0.00260575795247828,0.0495094010970873,0.0263490591879306,221757184,0.000664082699458341,0.0343294041829103
"86","17-44",553398,0.0154843349632633,0.0252657219577953,0.0354121265346098,293374112,0.0134519256763869,0.0940298304166661
"87","11-01",1573011,0.00102860056286955,0.00868716111966159,0.00152001479964221,228859328,0.0805503370175062,0.0791390508670898
"88","16-15",313215,0.000469326181696279,0.0420988777676676,0.0709289146432961,217042256,3.02031991410926e-06,0.0122694379844633
"89","17-20",1184847,0.00197578252719549,0.0109035175005718,0.0795385395751519,320503104,0.00722844247399239,0.136833295692512
"90","14-44",330779,0.0170808908667116,0.0387932728498484,0.0149465353000039,127888232,0.00284851560853543,0.0332486807699398
"91","10-65",618223,0.00359093725079785,0.0199280842026259,0.0208064080436994,274402688,0.00332644267865189,0.0396176257573687
"92","11-37",590008,0.00231522284443601,0.0202065056744993,0.0230115523857304,256371472,0.00446217939568565,0.0342109164158483
"93","10-70",396321,0.00750149500026494,0.0298974820915369,0.023697962005546,133629032,0.0246249613631864,0.139864037928524
"94","19-61",148403,0.00667776257892361,0.0791089128925965,0.0298511485616868,112399264,9.64342321583173e-05,0.0239362154542222
"95","19-08",424760,0.000442602881627272,0.0272035973255485,0.0459577172991807,172022784,0.00730058016617148,0.032765877687458
"96","19-38",304967,0.00252486334587021,0.0371581187472743,0.0142605593392072,199909616,8.43072896003162e-06,0.0151528778885754
"97","15-14",203247,0.00119066948097635,0.0547215949066899,0.0400153507800853,172552304,0.00315486333639451,0.062979251786751
"98","09-39",300914,0.0037020544075716,0.0345148447729252,0.0171710189622284,191339872,0.000655744059319743,0.0178787513770261
"99","11-69",833443,0.000479936840311815,0.0122959818487887,0.00700947755275406,92723864,0.344353811657374,0.0896422413975328
"100","14-05",378113,0.00260239663804207,0.0268702742301904,0.0175000595060207,157882112,9.19295792863475e-05,0.0282067990070971
"101","13-82",255009,0,0.0398378096459341,0.0427357465814932,185614208,0.0013592797001833,0.0263328090703057
"102","10-45",261479,0.00197721423135319,0.0384466821427342,0.124683052941154,121463392,0.132552728315047,0.148233749309422
"103","12-24",255341,0.000211481900674001,0.0381019891047658,0.00885874183934425,120486640,0.00350261059026959,0.0403274504127595
"104","12-29",157814,0.0126351274284918,0.0601847744813515,0.0271078611530029,166907984,0.0117417143747899,0.110982515971195
"105","17-31",283837,0.000923064998573125,0.0331422612273946,0.0265469265811011,170118272,0.000143470773086621,0.0160357083805789
"106","19-51",310114,0.000577207091585675,0.0302824122741959,0.0186125102381705,196669728,0.000366962772989649,0.0174734593622868
"107","21-13",544964,0.00068628386462225,0.0171827863858897,0.0431661540945824,464094272,0.000195205658830023,0.013001896088905
"108","06-59",750207,0.00341772337501516,0.0119433702964648,0.000269259017844408,118169328,0.293483398670085,0.0914019837702724
"109","08-65",194565,0.0201989052501735,0.0441446303291959,0.0196438208310847,97278144,0.000260441016946211,0.0155855396973857
"110","11-67",200327,0.00215647416474065,0.0422758789379365,0.0382175143640148,121273520,0.0108590090400608,0.0568324478418702
"111","12-20",441600,0.00338768115942029,0.0191304347826087,0.0150520833333333,167021248,0.00121387184596417,0.082999092426851
"112","19-20",1166107,0.00374751202076653,0.00706881958516671,0.00280677502150317,229992976,0.323078144786474,0.0701457900175178
"113","12-65",129090,0.00257184909752886,0.061391277403362,0.0959485630180494,113198360,0.000279002496149238,0.0163944634445234
"114","15-17",499608,4.00313846055307e-06,0.0155261725192551,0.014295207442635,211197920,0.00132532525651768,0.0182487012656185
"115","18-48",298138,0.00368285827368534,0.0246999711542977,0.00673849022935688,142065456,0.000519474672646671,0.0251556384685099
"116","18-76",240231,0.000208133005315717,0.029954502125038,0.0128501317481924,173073008,0.0114220352604029,0.0256662379150422
"117","12-34",265306,0.0139046987252456,0.0265165506999465,0.00277792435904201,121131672,0.0152826989377312,0.0568380167327336
"118","07-45",528350,0.00171287971988265,0.0132185104570834,0.00840730576322513,152007776,0.0644277171715215,0.0886198413954823
"119","12-67",518606,0.00304855709343895,0.0132933286541228,0.0414110133704585,110525552,0.00255626409357358,0.0779325399795334
"120","08-08",329588,3.03409104700414e-05,0.0208684782212945,0.0133894437904293,225348192,0.00257151303215248,0.0533815243567608
"121","11-64",350567,0.000442140874640226,0.0195312165720105,0.0450127935601468,170133760,0.00021787298876484,0.00687669734096278
